Classification Report for product-category_text_tuning:                                                   precision    recall  f1-score   support

                              alcoholic beverages       0.93      0.66      0.77        38
                      cereals and bakery products       0.57      0.74      0.64       252
     cocoa and cocoa preparations, coffee and tea       0.79      0.72      0.75        99
                                    confectionery       0.87      0.51      0.64        91
dietetic foods, food supplements, fortified foods       0.93      0.69      0.80        95
                                    fats and oils       1.00      0.69      0.81        32
                                   feed materials       1.00      0.82      0.90        11
                   food additives and flavourings       1.00      0.80      0.89        10
                           food contact materials       1.00      0.94      0.97        35
                            fruits and vegetables       0.70      0.88      0.78       335
                                 herbs and spices       0.98      0.78      0.87       116
                            honey and royal jelly       1.00      0.67      0.80        15
                                ices and desserts       0.98      0.76      0.86        63
                     meat, egg and dairy products       0.76      0.94      0.84       719
                          non-alcoholic beverages       0.87      0.78      0.82       107
                     nuts, nut products and seeds       0.80      0.70      0.75       120
                       other food product / mixed       0.89      0.70      0.79        47
                                         pet feed       1.00      0.69      0.81        16
                       prepared dishes and snacks       0.69      0.50      0.58       212
                                          seafood       0.90      0.63      0.74       155
             soups, broths, sauces and condiments       0.87      0.61      0.72       135
                                sugars and syrups       1.00      0.76      0.87        17

                                         accuracy                           0.77      2720
                                        macro avg       0.89      0.73      0.79      2720
                                     weighted avg       0.79      0.77      0.77      2720
F1 Score: 0.791
